cc memoryManager.c
./a.out addresses.txt
Virtual adress: 16916	Physical address: 20	 Value: 0
Virtual adress: 62493	Physical address: 285	 Value: 0
Virtual adress: 30198	Physical address: 758	 Value: 29
Virtual adress: 53683	Physical address: 947	 Value: 108
Virtual adress: 40185	Physical address: 1273	 Value: 0
Virtual adress: 28781	Physical address: 1389	 Value: 0
Virtual adress: 24462	Physical address: 1678	 Value: 23
Virtual adress: 48399	Physical address: 1807	 Value: 67
Virtual adress: 64815	Physical address: 2095	 Value: 75
Virtual adress: 18295	Physical address: 2423	 Value: -35
Virtual adress: 12218	Physical address: 2746	 Value: 11
Virtual adress: 22760	Physical address: 3048	 Value: 0
Virtual adress: 57982	Physical address: 3198	 Value: 56
Virtual adress: 27966	Physical address: 3390	 Value: 27
Virtual adress: 54894	Physical address: 3694	 Value: 53
Virtual adress: 38929	Physical address: 3857	 Value: 0
Virtual adress: 32865	Physical address: 4193	 Value: 0
Virtual adress: 64243	Physical address: 4595	 Value: -68
Virtual adress: 2315	Physical address: 4619	 Value: 66
Virtual adress: 64454	Physical address: 5062	 Value: 62
Virtual adress: 55041	Physical address: 5121	 Value: 0
Virtual adress: 18633	Physical address: 5577	 Value: 0
Virtual adress: 14557	Physical address: 5853	 Value: 0
Virtual adress: 61006	Physical address: 5966	 Value: 59
Virtual adress: 62615	Physical address: 407	 Value: 37
Virtual adress: 7591	Physical address: 6311	 Value: 105
Virtual adress: 64747	Physical address: 6635	 Value: 58
Virtual adress: 6727	Physical address: 6727	 Value: -111
Virtual adress: 32315	Physical address: 6971	 Value: -114
Virtual adress: 60645	Physical address: 7397	 Value: 0
Virtual adress: 6308	Physical address: 7588	 Value: 0
Virtual adress: 45688	Physical address: 7800	 Value: 0
Virtual adress: 969	Physical address: 8137	 Value: 0
Virtual adress: 40891	Physical address: 8379	 Value: -18
Virtual adress: 49294	Physical address: 8590	 Value: 48
Virtual adress: 41118	Physical address: 8862	 Value: 40
Virtual adress: 21395	Physical address: 9107	 Value: -28
Virtual adress: 6091	Physical address: 9419	 Value: -14
Virtual adress: 32541	Physical address: 9501	 Value: 0
Virtual adress: 17665	Physical address: 9729	 Value: 0
Virtual adress: 3784	Physical address: 10184	 Value: 0
Virtual adress: 28718	Physical address: 1326	 Value: 28
Virtual adress: 59240	Physical address: 10344	 Value: 0
Virtual adress: 40178	Physical address: 1266	 Value: 39
Virtual adress: 60086	Physical address: 10678	 Value: 58
Virtual adress: 42252	Physical address: 10764	 Value: 0
Virtual adress: 44770	Physical address: 11234	 Value: 43
Virtual adress: 22514	Physical address: 11506	 Value: 21
Virtual adress: 3067	Physical address: 11771	 Value: -2
Virtual adress: 15757	Physical address: 11917	 Value: 0
Virtual adress: 31649	Physical address: 12193	 Value: 0
Virtual adress: 10842	Physical address: 12378	 Value: 10
Virtual adress: 43765	Physical address: 12789	 Value: 0
Virtual adress: 33405	Physical address: 12925	 Value: 0
Virtual adress: 44954	Physical address: 13210	 Value: 43
Virtual adress: 56657	Physical address: 13393	 Value: 0
Virtual adress: 5003	Physical address: 13707	 Value: -30
Virtual adress: 50227	Physical address: 13875	 Value: 12
Virtual adress: 19358	Physical address: 14238	 Value: 18
Virtual adress: 36529	Physical address: 14513	 Value: 0
Virtual adress: 10392	Physical address: 14744	 Value: 0
Virtual adress: 58882	Physical address: 14850	 Value: 57
Virtual adress: 5129	Physical address: 15113	 Value: 0
Virtual adress: 58554	Physical address: 15546	 Value: 57
Virtual adress: 58584	Physical address: 15576	 Value: 0
Virtual adress: 27444	Physical address: 15668	 Value: 0
Virtual adress: 58982	Physical address: 14950	 Value: 57
Virtual adress: 51476	Physical address: 15892	 Value: 0
Virtual adress: 6796	Physical address: 6796	 Value: 0
Virtual adress: 21311	Physical address: 9023	 Value: -49
Virtual adress: 30705	Physical address: 16369	 Value: 0
Virtual adress: 28964	Physical address: 16420	 Value: 0
Virtual adress: 41003	Physical address: 8747	 Value: 10
Virtual adress: 20259	Physical address: 16675	 Value: -56
Virtual adress: 57857	Physical address: 3073	 Value: 0
Virtual adress: 63258	Physical address: 16922	 Value: 61
Virtual adress: 36374	Physical address: 14358	 Value: 35
Virtual adress: 692	Physical address: 17332	 Value: 0
Virtual adress: 43121	Physical address: 17521	 Value: 0
Virtual adress: 48128	Physical address: 17664	 Value: 0
Virtual adress: 34561	Physical address: 17921	 Value: 0
Virtual adress: 49213	Physical address: 8509	 Value: 0
Virtual adress: 36922	Physical address: 18234	 Value: 36
Virtual adress: 59162	Physical address: 10266	 Value: 57
Virtual adress: 50552	Physical address: 18552	 Value: 0
Virtual adress: 17866	Physical address: 9930	 Value: 17
Virtual adress: 18145	Physical address: 18913	 Value: 0
Virtual adress: 3884	Physical address: 18988	 Value: 0
Virtual adress: 54388	Physical address: 19316	 Value: 0
Virtual adress: 42932	Physical address: 19636	 Value: 0
Virtual adress: 46919	Physical address: 19783	 Value: -47
Virtual adress: 58892	Physical address: 14860	 Value: 0
Virtual adress: 8620	Physical address: 20140	 Value: 0
Virtual adress: 38336	Physical address: 20416	 Value: 0
Virtual adress: 64357	Physical address: 4965	 Value: 0
Virtual adress: 23387	Physical address: 20571	 Value: -42
Virtual adress: 42632	Physical address: 20872	 Value: 0
Virtual adress: 15913	Physical address: 21033	 Value: 0
Virtual adress: 15679	Physical address: 11839	 Value: 79
Virtual adress: 22501	Physical address: 11493	 Value: 0
Virtual adress: 37540	Physical address: 21412	 Value: 0
Virtual adress: 5527	Physical address: 21655	 Value: 101
Virtual adress: 63921	Physical address: 21937	 Value: 0
Virtual adress: 62716	Physical address: 508	 Value: 0
Virtual adress: 32874	Physical address: 4202	 Value: 32
Virtual adress: 64390	Physical address: 4998	 Value: 62
Virtual adress: 63101	Physical address: 22141	 Value: 0
Virtual adress: 61802	Physical address: 22378	 Value: 60
Virtual adress: 19648	Physical address: 22720	 Value: 0
Virtual adress: 29031	Physical address: 16487	 Value: 89
Virtual adress: 44981	Physical address: 13237	 Value: 0
Virtual adress: 28092	Physical address: 3516	 Value: 0
Virtual adress: 9448	Physical address: 23016	 Value: 0
Virtual adress: 44744	Physical address: 11208	 Value: 0
Virtual adress: 61496	Physical address: 23096	 Value: 0
Virtual adress: 31453	Physical address: 23517	 Value: 0
Virtual adress: 60746	Physical address: 23626	 Value: 59
Virtual adress: 12199	Physical address: 2727	 Value: -23
